data,numero_pedido,cliente,estado,cidade,vendedor,produto,categoria,quantidade,preco_unitario,desconto,custo_unitario,forma_pagamento,faturamento_bruto,valor_desconto,faturamento_liquido,custo,lucro_bruto,margem_percentual
2025-01-01,PED-2025-00634,Integra Soluções 216,BA,Feira de Santana,Gustavo Ribeiro,Cadeira Ergonômica,Móveis,1,1373.25,0.15,781.87,Pix,1373.25,205.99,1167.26,781.87,385.39,0.330168
2025-01-01,PED-2025-00634,Integra Soluções 216,BA,Feira de Santana,Gustavo Ribeiro,Headset Corporativo,Acessórios,5,325.0,0.05,160.23,Pix,1625.0,81.25,1543.75,801.15,742.6,0.481036
2025-01-01,PED-2025-00688,Central Comercial 113,RJ,Niterói,Fernanda Alves,Filtro de Linha Premium,Energia,2,124.68,0.0,50.26,Pix,249.36,0.0,249.36,100.52,148.84,0.596888
2025-01-01,PED-2025-00688,Central Comercial 113,RJ,Niterói,Fernanda Alves,Monitor Ultrawide 29,Informática,1,1752.66,0.0,1128.82,Pix,1752.66,0.0,1752.66,1128.82,623.84,0.355939
2025-01-01,PED-2025-00688,Central Comercial 113,RJ,Niterói,Fernanda Alves,Switch 24 Portas,Conectividade,1,1149.02,0.0,619.92,Pix,1149.02,0.0,1149.02,619.92,529.1,0.460479
2025-01-01,PED-2025-00850,Aurora Logística 162,SP,Ribeirão Preto,Diego Lima,Gaveteiro Executivo,Móveis,2,715.47,0.08,354.16,Pix,1430.94,114.48,1316.46,708.32,608.14,0.461953
2025-01-01,PED-2025-00850,Aurora Logística 162,SP,Ribeirão Preto,Diego Lima,Notebook Essencial 14,Informática,5,2957.05,0.05,2065.09,Pix,14785.25,739.26,14045.99,10325.45,3720.54,0.264883
2025-01-02,PED-2025-00015,Ponto Soluções 008,SP,Ribeirão Preto,Ana Martins,Mouse Sem Fio,Acessórios,6,146.55,0.03,69.66,Cartão de débito,879.3,26.38,852.92,417.96,434.96,0.509966
2025-01-02,PED-2025-00420,Aurora Logística 042,GO,Anápolis,Juliana Mendes,Monitor Ultrawide 29,Informática,7,1817.01,0.08,1187.99,Boleto,12719.07,1017.53,11701.54,8315.93,3385.61,0.289331
2025-01-02,PED-2025-00585,Prime Comercial 049,DF,Brasília,Ana Martins,Headset Corporativo,Acessórios,1,330.37,0.08,156.82,Boleto,330.37,26.43,303.94,156.82,147.12,0.484044
2025-01-02,PED-2025-00756,Nova Engenharia 167,PR,Londrina,Juliana Mendes,Roteador Empresarial,Conectividade,5,725.21,0.0,366.66,Pix,3626.05,0.0,3626.05,1833.3,1792.75,0.494409
2025-01-02,PED-2025-00756,Nova Engenharia 167,PR,Londrina,Juliana Mendes,Teclado Mecânico,Acessórios,3,387.34,0.08,187.27,Pix,1162.02,92.96,1069.06,561.81,507.25,0.474481
2025-01-03,PED-2025-00308,Horizonte Engenharia 175,RJ,Rio de Janeiro,Diego Lima,Gaveteiro Executivo,Móveis,4,709.79,0.0,356.22,Pix,2839.16,0.0,2839.16,1424.88,1414.28,0.498133
2025-01-03,PED-2025-00308,Horizonte Engenharia 175,RJ,Rio de Janeiro,Diego Lima,Teclado Mecânico,Acessórios,3,378.59,0.0,190.28,Pix,1135.77,0.0,1135.77,570.84,564.93,0.497398
2025-01-03,PED-2025-00331,Nova Tecnologia 027,SP,Campinas,Gustavo Ribeiro,Kit Toner Colorido,Impressão,2,865.89,0.05,417.97,Pix,1731.78,86.59,1645.19,835.94,809.25,0.491889
2025-01-03,PED-2025-00331,Nova Tecnologia 027,SP,Campinas,Gustavo Ribeiro,Mouse Sem Fio,Acessórios,2,145.07,0.12,68.16,Pix,290.14,34.82,255.32,136.32,119.0,0.466088
2025-01-03,PED-2025-00415,Conecta Logística 074,RJ,Petrópolis,Lucas Barros,Teclado Mecânico,Acessórios,2,376.07,0.0,188.7,Cartão de crédito,752.14,0.0,752.14,377.4,374.74,0.498232
2025-01-04,PED-2025-00012,Nova Tecnologia 067,SP,Ribeirão Preto,Fernanda Alves,Teclado Mecânico,Acessórios,7,378.08,0.12,189.33,Pix,2646.56,317.59,2328.97,1325.31,1003.66,0.430947
2025-01-04,PED-2025-00012,Nova Tecnologia 067,SP,Ribeirão Preto,Fernanda Alves,Toner Preto,Impressão,1,326.82,0.1,149.88,Pix,326.82,32.68,294.14,149.88,144.26,0.490443
2025-01-04,PED-2025-00413,Cliente não informado,PE,Caruaru,Gustavo Ribeiro,Filtro de Linha Premium,Energia,5,124.95,0.0,50.26,Cartão de débito,624.75,0.0,624.75,251.3,373.45,0.597759
2025-01-04,PED-2025-00413,Vértice Varejo 030,PE,Caruaru,Gustavo Ribeiro,Monitor Ultrawide 29,Informática,2,1791.86,0.0,1126.88,Cartão de débito,3583.72,0.0,3583.72,2253.76,1329.96,0.371112
2025-01-04,PED-2025-00563,Central Engenharia 103,SP,Santos,Juliana Mendes,Headset Corporativo,Acessórios,4,343.98,0.12,156.64,Pix,1375.92,165.11,1210.81,626.56,584.25,0.482528
2025-01-04,PED-2025-00563,Central Engenharia 103,SP,Santos,Juliana Mendes,Toner Preto,Impressão,1,325.2,0.0,144.77,Pix,325.2,0.0,325.2,144.77,180.43,0.554828
