data,numero_pedido,cliente,estado,cidade,vendedor,produto,categoria,quantidade,preco_unitario,desconto,custo_unitario,forma_pagamento
2025-02-02,PED-2025-00001,Integra Soluções 096,MG,Juiz de Fora,Juliana Mendes,Filtro de Linha Premium,Energia,3,116.49,0.05,50.79,Cartão de crédito
2025-03-08,PED-2025-00002,Prime Comercial 089,PR,Maringá,Juliana Mendes,Gaveteiro Executivo,Móveis,1,701.63,0.1,363.11,Boleto
2025-01-25,PED-2025-00003,Vértice Varejo 150,PE,Caruaru,Juliana Mendes,Notebook Pro 15,Informática,3,5022.17,0.15,3395.4,Pix
2025-11-27,PED-2025-00004,Integra Soluções 176,MG,Uberlândia,Bruno Costa,Mouse Sem Fio,Acessórios,4,155.14,0.08,67.45,Pix
2025-10-08,PED-2025-00005,Integra Logística 186,BA,Vitória da Conquista,Diego Lima,Monitor Ultrawide 29,Informática,2,1825.51,0.08,1188.6,Pix
2025-10-08,PED-2025-00005,Integra Logística 186,BA,Vitória da Conquista,Diego Lima,Mouse Sem Fio,Acessórios,2,145.79,0.0,69.14,Pix
2025-08-27,PED-2025-00006,Ponto Logística 018,PR,Londrina,Juliana Mendes,Gaveteiro Executivo,Móveis,2,675.73,0.05,375.85,Cartão de crédito
2025-08-27,PED-2025-00006,Ponto Logística 018,PR,Londrina,Juliana Mendes,Teclado Mecânico,Acessórios,1,384.18,0.0,195.14,Cartão de crédito
2025-02-16,PED-2025-00007,Vértice Distribuidora 220,RS,Caxias do Sul,Gustavo Ribeiro,Mouse Sem Fio,Acessórios,2,150.14,0.0,68.34,Boleto
2025-02-16,PED-2025-00007,Vértice Distribuidora 220,RS,Caxias do Sul,Gustavo Ribeiro,Notebook Pro 15,Informática,3,4890.75,0.05,3389.58,Boleto
2025-09-07,PED-2025-00008,Aurora Distribuidora 212,RJ,Niterói,Ana Martins,Filtro de Linha Premium,Energia,6,122.84,0.05,50.44,Pix
2025-09-07,PED-2025-00008,Aurora Distribuidora 212,RJ,Niterói,Ana Martins,Toner Preto,Impressão,1,329.34,0.0,144.75,Pix
2025-09-07,PED-2025-00008,Aurora Distribuidora 212,RJ,Niterói,Ana Martins,Teclado Mecânico,Acessórios,3,404.36,0.1,195.91,Pix
31/08/2025,PED-2025-00009,Alfa Engenharia 031,PR,Londrina,Fernanda Alves,Webcam Full HD,Acessórios,3,277.01,0.0,129.0,Cartão de crédito
