data,categoria,descricao,tipo,valor
2025-01-02,Marketing,Campanhas e conteúdo,Variável,924.11
2025-01-03,Despesas administrativas,Materiais e serviços gerais,Variável,950.6
2025-01-05,Despesas administrativas,Materiais e serviços gerais,Variável,878.21
2025-01-07,Marketing,Campanhas e conteúdo,Variável,1960.24
2025-01-07,Salários,Folha de pagamento,Fixa,12809.82
2025-01-10,Marketing,Campanhas e conteúdo,Variável,2302.45
2025-01-10,Marketing,Campanhas e conteúdo,Variável,2695.94
2025-01-11,Despesas administrativas,Materiais e serviços gerais,Variável,1097.9
2025-01-11,Energia,Energia elétrica,Variável,750.85
2025-01-11,Fornecedores,Serviços terceirizados,Variável,1570.97
2025-01-13,Salários,Folha de pagamento,Fixa,13649.8
2025-01-14,Marketing,Campanhas e conteúdo,Variável,2896.62
2025-01-14,Salários,Folha de pagamento,Fixa,13190.17
2025-01-14,Software,Licenças e assinaturas,Fixa,1273.1
2025-01-15,Despesas administrativas,Materiais e serviços gerais,Variável,1441.47
2025-01-15,Energia,Energia elétrica,Variável,1179.41
2025-01-15,Logística,Fretes e armazenagem,Variável,4195.05
2025-01-15,Logística,Fretes e armazenagem,Variável,2855.17
2025-01-15,Logística,Fretes e armazenagem,Variável,2071.96
2025-01-19,Energia,Energia elétrica,Variável,1049.52
2025-01-20,Marketing,Campanhas e conteúdo,Variável,2396.77
2025-01-21,Salários,Folha de pagamento,Fixa,13049.05
2025-01-22,Fornecedores,Serviços terceirizados,Variável,2502.21
2025-01-22,Marketing,Campanhas e conteúdo,Variável,1736.61
2025-01-23,Despesas administrativas,Materiais e serviços gerais,Variável,1128.68
2025-01-26,Energia,Energia elétrica,Variável,1344.29
2025-01-26,Salários,Folha de pagamento,Fixa,9314.88
2025-01-27,Marketing,Campanhas e conteúdo,Variável,2168.41
2025-01-28,Software,Licenças e assinaturas,Fixa,1305.12
2025-01-29,Logística,Fretes e armazenagem,Variável,3709.15
2025-01-30,Energia,Energia elétrica,Variável,925.11
2025-01-30,Marketing,Campanhas e conteúdo,Variável,2068.48
2025-01-31,Despesas administrativas,Materiais e serviços gerais,Variável,986.16
2025-01-31,Marketing,Campanhas e conteúdo,Variável,2838.48
2025-02-05,Aluguel,Locação do escritório,Fixa,7146.27
2025-02-06,Fornecedores,Serviços terceirizados,Variável,2388.31
2025-02-07,Despesas administrativas,Materiais e serviços gerais,Variável,1263.62
2025-02-07,Energia,Energia elétrica,Variável,1158.18
2025-02-08,Logística,Fretes e armazenagem,Variável,2781.15
2025-02-08,Logística,Fretes e armazenagem,Variável,2998.42
2025-02-11,Software,Licenças e assinaturas,Fixa,1021.34
2025-02-15,Energia,Energia elétrica,Variável,802.82
2025-02-15,Logística,Fretes e armazenagem,Variável,3653.4
2025-02-19,Despesas administrativas,Materiais e serviços gerais,Variável,1102.51
2025-02-19,Logística,Fretes e armazenagem,Variável,3687.03
2025-02-19,Marketing,Campanhas e conteúdo,Variável,2639.1
2025-02-19,Marketing,Campanhas e conteúdo,Variável,2860.73
2025-02-19,Software,Licenças e assinaturas,Fixa,1308.78
2025-02-20,Aluguel,Despesa sem descrição,Fixa,5977.36
2025-02-20,Software,Licenças e assinaturas,Fixa,1478.45
2025-02-21,Energia,Energia elétrica,Variável,971.04
2025-02-22,Aluguel,Locação do escritório,Fixa,6655.92
2025-02-22,Logística,Despesa sem descrição,Variável,2849.68
2025-02-22,Marketing,Campanhas e conteúdo,Variável,2353.54
2025-02-23,Marketing,Campanhas e conteúdo,Variável,2391.99
2025-02-25,Logística,Fretes e armazenagem,Variável,2999.72
2025-02-28,Fornecedores,Serviços terceirizados,Variável,2368.06
2025-02-28,Logística,Fretes e armazenagem,Variável,2782.65
2025-03-01,Marketing,Campanhas e conteúdo,Variável,2529.88
2025-03-02,Marketing,Campanhas e conteúdo,Variável,2658.33
2025-03-03,Salários,Folha de pagamento,Fixa,10136.85
2025-03-04,Energia,Energia elétrica,Variável,1046.0
2025-03-04,Fornecedores,Serviços terceirizados,Variável,2314.19
2025-03-05,Energia,Energia elétrica,Variável,1061.0
2025-03-05,Fornecedores,Serviços terceirizados,Variável,1262.56
2025-03-05,Fornecedores,Serviços terceirizados,Variável,2842.0
2025-03-07,Fornecedores,Serviços terceirizados,Variável,1750.3
2025-03-07,Salários,Despesa sem descrição,Fixa,8529.62
2025-03-08,Energia,Energia elétrica,Variável,916.14
